EPGChannelID,ChannelName,GuideChannelNum,StreamURL,NumCaptionTracks,Error
70,CNN,9001,http://pluto.mdu1.tv/CNN/index.m3u8,1,
37320,MDU1 Local Info,9000,http://pluto.mdu1.tv/myvod/Info-channel.mp4/index.m3u8,0,
17669,"Newsy (WPCT-DT2) Panama City, FL",47,https://local.pfla.mdu1.net/Newsy/index.m3u8,1,
13271,"Beach TV (WPCT) Panama City, FL",46,https://local.pfla.mdu1.net/BeachTV/index.m3u8,0,
37106,"GetTV (WPCT5) Panama City, FL",50,https://local.pfla.mdu1.net/GetTV/index.m3u8,1,
2338,"CBS (WTVY) Dothan, AL",4,https://local.pfla.mdu1.net/WTVY-DT/index.m3u8,1,
37091,"Defy (WPCT4) Panama City, FL",49,https://local.pfla.mdu1.net/Defy/index.m3u8,1,
37090,"TrueReal (WPCT3) Panama City, FL",48,https://local.pfla.mdu1.net/TruReal/index.m3u8,1,
36747,"Huntsville ETV (WHIQ5) Huntsville, AL",29,https://local.clift.mdu1.net/ETV/index.m3u8,1,
36716,"Shop LC (WLMT5) Memphis, TN",35,https://local.memphis.mdu1.net/WLMT.7/index.m3u8,-1, http error 404 not found
36715,"GetTV (WLMT4) Memphis, TN",33,https://local.memphis.mdu1.net/WLMT.6/index.m3u8,-1, http error 404 not found
36713,"Quest (WATN-TV6) Memphis, TN",29,https://local.memphis.mdu1.net/Quest/index.m3u8,1,
36712,"True Crime Network (WATN-TV5) Memphis, TN",28,https://local.memphis.mdu1.net/Crime/index.m3u8,1,
36639,"Newsy (WTXL-TV6) Tallahassee, FL",26,https://local.tal.mdu1.net/WTXL.8/index.m3u8,1,
36603,"PBS Kids (WKNO3) Memphis, TN",12,https://local.memphis.mdu1.net/PBS_KIDS/index.m3u8,0,
36602,"Action News 5 Plus (WMC-TV5) Memphis, TN",9,https://local.memphis.mdu1.net/Action_News/index.m3u8,1,
36310,"TrueReal (W34EY-D5) Huntsville, AL",42,https://local.clift.mdu1.net/TrueReal/index.m3u8,1,
36309,"Buzzr TV (W34EY-D4) Huntsville, AL",41,https://local.clift.mdu1.net/BUZZR/index.m3u8,1,
36308,"GetTV (W34EY-D3) Huntsville, AL",40,https://local.clift.mdu1.net/GetTV/index.m3u8,1,
36306,"Newsy (W34EY-D) Huntsville, AL",38,https://local.clift.mdu1.net/W34EY/index.m3u8,1,
36254,"MNT (WCTV6) Tallahassee, FL",5,https://local.tal.mdu1.net/WCTV.6/index.m3u8,1,
36198,"THIS (WAAY-TV6) Huntsville, AL",35,https://local.clift.mdu1.net/WAAY-DT6/index.m3u8,1,
36090,"Twist (WATN-TV4) Memphis, TN",27,https://local.memphis.mdu1.net/Twist/index.m3u8,1,
36089,"Cozi TV (WATN-TV3) Memphis, TN",26,https://local.memphis.mdu1.net/COZI-TV/index.m3u8,1,
36088,"Laff (WATN-TV2) Memphis, TN",25,https://local.memphis.mdu1.net/Laff/index.m3u8,1,
35282,"DABL (WJHG-TV5) Panama City, FL",20,https://local.pfla.mdu1.net/Dabl/index.m3u8,1,
35220,"True Crime Network (WCTV5) Tallahassee, FL",10,https://local.tal.mdu1.net/WCTV.5/index.m3u8,1,
34932,"ION Mystery (WZDX4) Huntsville, AL",56,https://local.clift.mdu1.net/ESCAPE/index.m3u8,1,
34928,"QVC (WAAY-TV4) Huntsville, AL",34,https://local.clift.mdu1.net/QVC/index.m3u8,1,
34791,"ION (WCTV4) Tallahassee, FL",9,https://local.tal.mdu1.net/WCTV.4/index.m3u8,0,
34367,"Grit TV (WMC-TV4) Memphis, TN",8,https://local.memphis.mdu1.net/Grit/index.m3u8,1,
34062,"Court TV (WPGX4) Panama City, FL",31,https://local.pfla.mdu1.net/WPGX-CT/index.m3u8,1,
